,word,frequency
1146,자장면,62
1147,식구,62
1148,훌륭합니다,62
1149,오네요,62
1150,장,62
1151,동생,62
1152,시작,62
1153,봉투,62
1154,씁니다,62
1155,되어서,62
1156,켜,62
1157,수준,62
1158,되고,62
1159,천원,62
1160,시켜야겠어요,62
1161,부위,62
1162,착한,62
1163,괜찮았습니다,61
1164,좋구,61
1165,만족스러운,61
1166,환상,61
1167,바닥,61
1168,감사해용,61
1169,응대,61
1170,장난,61
1171,싱싱하고,61
1172,이미,61
1173,뒤,61
1174,피스,61
1175,조아,61
1176,튀가,61
1177,주는,60
1178,완료,60
1179,싶었는데,60
1180,보내주신,60
1181,이제야,60
1182,맛있죠,60
1183,마싯,60
1184,디,60
1185,닝,60
1186,살로,60
1187,말랭이,60
1188,충분히,60
1189,와사비,60
1190,걍,60
1191,피제이,60
1192,설렁탕,60
1193,빅맥,60
1194,밑,59
1195,무지,59
1196,할거,59
1197,인지,59
1198,괜찮습니다,59
1199,비오는데,59
1200,없음,59
1201,그만큼,59
1202,받으세요,59
1203,속이,59
1204,껍데기,59
1205,히,59
1206,버렸어요,59
1207,달콤,59
1208,반영,59
1209,배불러요,59
1210,밑반찬,59
1211,혼술,59
1212,실패,59
1213,구이,59
1214,먹었을,58
1215,좋아하시는,58
1216,내용물,58
1217,가요,58
1218,시키세요,58
1219,빠르고요,58
1220,미쳤어요,58
1221,짜고,58
1222,가져다,58
1223,뻔,58
1224,아쉽습니다,58
1225,먹었지만,58
1226,싶은,58
1227,대요,58
1228,만들어,58
1229,먹었어여,58
1230,궁합,58
1231,비교,58
1232,버섯,58
1233,매호,58
1234,필수,57
1235,코,57
1236,불향,57
1237,놀랐습니다,57
1238,있을,57
1239,간단하게,57
1240,고,57
1241,해주신,57
1242,맞춰,57
1243,엇어,57
1244,먹는게,57
1245,찌개,57
1246,딸,57
1247,했던,57
1248,웃,57
1249,겉바,57
1250,촉,57
1251,국밥,57
1252,프레,57
1253,해산물,56
1254,먹었어,56
1255,만족했습니다,56
1256,힘내세요,56
1257,안되서,56
1258,해주시는,56
1259,요구사항,56
1260,이네요,56
1261,하시길,56
1262,좋아하네요,56
1263,카레,56
1264,적네요,56
1265,그런,56
1266,숯불,56
1267,트러플,56
1268,곰탕,56
1269,징,55
1270,맛있긴,55
1271,좋을거,55
1272,변경,55
1273,먹을것,55
1274,라볶이,55
1275,방학,55
1276,따뜻해서,55
1277,받자마자,55
1278,적어,55
1279,볼,55
1280,조림,55
1281,제품,55
1282,익스,55
1283,미스터,55
1284,투움바,55
1285,맛있었네요,54
1286,차돌,54
1287,먹어용,54
1288,남자,54
1289,까,54
1290,하시네요,54
1291,담번,54
1292,상,54
1293,체고,54
1294,코로나,54
1295,잇는,54
1296,시킬거,54
1297,추억,54
1298,남아,54
1299,세상,54
1300,픽업,54
1301,진짜진짜,54
1302,부드러운,54
1303,아쉬운건,54
1304,스테이크,54
1305,들어요,54
1306,쉬,54
1307,건가,54
1308,매운데,54
1309,넣고,54
1310,행컵,54
1311,물냉,54
1312,떡순,54
1313,사이다,53
1314,어유,53
1315,싹싹,53
1316,매주,53
1317,뭘,53
1318,먹었음,53
1319,아직,53
1320,두껍고,53
1321,친절하셨어요,53
1322,빼면,53
1323,상당히,53
1324,육즙,53
1325,꼼꼼히,53
1326,뭐해,53
1327,모르겠지만,53
1328,좋다,53
1329,연어초밥,53
1330,만해,53
1331,고요,52
1332,깔끔해서,52
1333,신청,52
1334,겁니다,52
1335,친절해요,52
1336,사용,52
1337,만족스러워요,52
1338,봅니다,52
1339,만점,52
1340,찍었습니다,52
1341,맛있었음,52
1342,쓰,52
1343,많구요,52
1344,라면,52
1345,같아용,52
1346,아쉬움,52
1347,바싹,52
1348,없지만,52
1349,좋았네요,52
1350,밍밍,52
1351,없는데,52
1352,싸,52
1353,어른,52
1354,라이더,52
1355,탑,52
1356,젠,52
1357,짰어요,52
1358,어묵,52
1359,만큼,52
1360,회도,52
1361,차고,52
1362,진짜루,52
1363,안심,52
1364,요구르트,52
1365,괜찮은데,51
1366,즐거운,51
1367,튀긴,51
1368,예술,51
1369,죄송해요,51
1370,봉,51
1371,기간,51
1372,적당해서,51
1373,남겨요,51
1374,편하게,51
1375,초,51
1376,햄,51
1377,꾸,51
1378,추워서,51
1379,올만에,51
1380,방,51
1381,어어,51
1382,좋아합니다,51
1383,해야겠어요,51
1384,드시는,51
1385,다이어트,51
1386,적게,51
1387,집중,50
1388,하구,50
1389,죽,50
1390,도리,50
1391,편하고,50
1392,없었어요,50
1393,순식간,50
1394,샌드위치,50
1395,묵,50
1396,포함,50
1397,찔이라,50
1398,인기,50
1399,메인,50
1400,으,50
1401,쌈장,50
1402,살살,50
1403,퇴근,50
1404,쿨,50
1405,브랜드,50
1406,닷,50
1407,앙,50
1408,포테이토,50
1409,두께,50
1410,마요네즈,50
1411,바나나,50
1412,내장,50
1413,중국음식,49
1414,챙겨주시고,49
1415,냉,49
1416,보내,49
1417,버려서,49
1418,없을,49
1419,전문점,49
1420,뜨거운,49
1421,넣어주셔서,49
1422,할듯,49
1423,평타,49
1424,그치만,49
1425,먹긴,49
1426,그럭저럭,49
1427,이벤,49
1428,커리,49
1429,뿌링,49
1430,짠단,49
1431,개맛,49
1432,보쌈김치,49
1433,비빔,49
1434,다른건,49
1435,처리,49
1436,있었으면,49
1437,그렇고,49
1438,잇어여,49
1439,계란말이,49
1440,러스트,49
1441,음식점,48
1442,우리동네,48
1443,완벽,48
1444,주고,48
1445,감탄,48
1446,비닐,48
1447,배불러서,48
1448,불구,48
1449,엄지,48
1450,최소,48
1451,생,48
1452,총알,48
1453,앱,48
1454,오시,48
1455,아주아주,48
1456,와주셔서,48
1457,쪽,48
1458,다르게,48
1459,좋았어용,48
1460,장사,48
1461,외,48
1462,백김치,48
1463,화이팅,48
1464,크게,48
1465,급,48
1466,콘,48
1467,호식,48
1468,김가네,48
1469,써주세요,47
1470,넣어서,47
1471,사발,47
1472,왓,47
1473,그게,47
1474,늦긴,47
1475,소,47
1476,시킨건데,47
1477,기만,47
1478,지,47
1479,세,47
1480,먹었었는데,47
1481,값,47
1482,식은,47
1483,행복,47
1484,먹으면서,47
1485,성인,47
1486,좋을듯,47
1487,신선한,47
1488,나온,47
1489,기준,47
1490,파김치,47
1491,볼게요,47
1492,친절한,47
