,word,frequency
1535,빨랐구요,25
1536,작아요,25
1537,쫄깃쫄깃,25
1538,베리,25
1539,켜,25
1540,현관,25
1541,보기,25
1542,일회용,25
1543,화가,25
1544,식구,25
1545,깔끔해요,25
1546,좋았어용,25
1547,안보,25
1548,개도,25
1549,지역,25
1550,한가지,25
1551,있을,25
1552,비교,25
1553,목,25
1554,따뜻할,25
1555,먹었어,25
1556,포함,25
1557,집앞,25
1558,엄지,25
1559,시킬거,25
1560,아무튼,25
1561,남아,25
1562,봐도,25
1563,걸리고,25
1564,비오는,25
1565,오이,25
1566,잇어여,25
1567,싶어요,25
1568,마감,25
1569,정식,25
1570,종이,25
1571,최소,25
1572,그리,25
1573,특유,25
1574,늦지,25
1575,낙지,25
1576,생선까스,24
1577,환상,24
1578,튀겨져서,24
1579,익스,24
1580,땡초,24
1581,대박나세요,24
1582,정착,24
1583,크게,24
1584,보이,24
1585,먹으면서,24
1586,터지게,24
1587,어쩔,24
1588,외,24
1589,가봐요,24
1590,만원,24
1591,적극,24
1592,평점,24
1593,별루,24
1594,적은듯,24
1595,싸고,24
1596,볶,24
1597,넣어주셔서,24
1598,먹을거에요,24
1599,업,24
1600,남겨,24
1601,않았습니다,24
1602,돌려,24
1603,해야겠어요,24
1604,파,24
1605,조화,24
1606,아빠,24
1607,튀겨,24
1608,굴,24
1609,같아용,24
1610,맜,24
1611,좋을거,24
1612,진,24
1613,갓,24
1614,살코기,24
1615,부드러워서,24
1616,아주아주,24
1617,다행,24
1618,스틱,24
1619,그만큼,24
1620,카레,24
1621,납작만두,24
1622,문의,24
1623,스낵,24
1624,퀸,24
1625,안심,23
1626,기적,23
1627,오구,23
1628,주셨는데,23
1629,딱딱해요,23
1630,그런것은지,23
1631,여러가지,23
1632,굳어서,23
1633,부드러워요,23
1634,딱이에요,23
1635,불지,23
1636,육즙,23
1637,감사해용,23
1638,길,23
1639,훌륭합니다,23
1640,총알,23
1641,있,23
1642,맜있어,23
1643,차갑고,23
1644,두껍고,23
1645,빠른데,23
1646,않았는데,23
1647,우우,23
1648,로만,23
1649,들어간,23
